Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,2765406,858,3223.1,2976.0,2880,10944,824.3,"void deep_gemm::sm120_fp8_paged_mqa_logits<(unsigned int)1, (unsigned int)32, (unsigned int)128, (unsigned int)64, (bool)1, (bool)0, (unsigned int)2, (unsigned int)3, (unsigned int)128, (unsigned int)128, (unsigned int)256, float>(unsigned int, unsigned int, unsigned int, const unsigned int *, T12 *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.0,2653696,563,4713.5,3680.0,2816,56992,3473.2,mhc_post_tilelang_kernel
0.0,2428352,168,14454.5,13856.0,10208,46144,3003.7,"void deep_gemm::sm120_tf32_hc_prenorm_gemm_impl<(unsigned int)24, (unsigned int)16384, (unsigned int)128, (unsigned int)32, (unsigned int)64, (unsigned int)48, (unsigned int)4, (unsigned int)256, (unsigned int)128>(unsigned int, CUtensorMap_st, CUtensorMap_st, float *, float *)"
0.0,2348765,1333,1762.0,1984.0,1024,9600,578.7,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,2179743,474,4598.6,4512.0,4384,27584,1077.4,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::BFloat16, at::native::MeanOps<c10::BFloat16, float, float, c10::BFloat16>, unsigned int, c10::BFloat16, (int)4, (int)8>>(T3)"
0.0,2119391,790,2682.8,2592.0,2304,10976,431.5,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8, (bool)1>(T1 *, long, T1 *, const T1 *, float, int, int, long)"
0.0,2095616,11,190510.5,188416.0,176128,202816,7855.2,nvjet_sm121_tst_mma_128x64x64_4_32x64x64_tmaAB_bz_TNNN
0.0,2056415,158,13015.3,12400.0,5024,23328,7969.4,"void flashinfer::sampling::RadixTopKKernel_Unified<(unsigned int)1024, (unsigned int)8, (bool)1, (bool)1, (flashinfer::sampling::RadixTopKMode)0, __nv_bfloat16, int, flashinfer::sampling::DirectPageTableKernelPolicy<int>, >(T6 *, T7 *, T6 *, const T7 *, T7 *, const T7 *, const T7 *, const T7 *, long, unsigned int, unsigned int, unsigned int, flashinfer::sampling::RadixRowState *, flashinfer::sampling::RadixDeterministicCollectScratch *, unsigned int, unsigned int, T9...)"
0.0,2001824,1731,1156.5,1184.0,928,5024,359.7,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,1685824,1602,1052.3,1024.0,960,1952,70.6,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<long>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
