Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,169312,47,3602.4,3456.0,2208,4672,530.1,_resample_kernel
0.0,166592,47,3544.5,3520.0,1248,4832,538.0,_insert_resampled_kernel
0.0,164288,47,3495.5,3680.0,2624,5952,723.3,_rejection_kernel
0.0,164096,51,3217.6,3200.0,3072,3456,76.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_tn_align8>(T1::Params)
0.0,162976,51,3195.6,3200.0,3136,3392,43.4,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,162560,51,3187.5,3136.0,928,6592,597.4,_scatter_num_accepted_kernel
0.0,158909,102,1557.9,1344.0,1024,27392,2597.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,149312,51,2927.7,2432.0,2368,10144,1715.7,_compute_slot_mappings_kernel
0.0,147360,51,2889.4,2848.0,832,4064,399.1,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,145728,51,2857.4,2592.0,2496,6752,853.7,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,127968,51,2509.2,2464.0,1888,3712,310.3,postprocess_mamba_fused_kernel
0.0,114016,51,2235.6,2176.0,2144,2688,124.4,_selector_walk_kernel
0.0,110976,95,1168.2,1056.0,992,2752,275.6,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,93184,55,1694.3,1696.0,1664,1920,41.5,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)8>, long>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,90816,51,1780.7,1728.0,1440,2656,190.3,_combine_sampled_and_draft_tokens_kernel
